Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Accuracy,Spreadsheet: display,Spreadsheet: test items,BA
16,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,4,Formal Test,Formal Test,s9687n,1,Formal Test,他把悲傷化成力量。,是
17,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,5,Formal Test,Formal Test,s9687n,1,Formal Test,天氣把我冷得直打顫。,是
18,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,6,Formal Test,Formal Test,s9687n,1,Formal Test,面對各種誘惑，要學習把持得住。,否
19,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,7,Formal Test,Formal Test,s9687n,1,Formal Test,清淡的交投並無法把油價推升至二十五美元以上。,是
20,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,8,Formal Test,Formal Test,s9687n,1,Formal Test,那個女孩把手帕哭得沒有人敢摸。,是
21,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,9,Formal Test,Formal Test,s9687n,1,Formal Test,學校把書賣給學生。,是
22,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,10,Formal Test,Formal Test,s9687n,1,Formal Test,約翰把玩著魔術方塊。,否
23,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,11,Formal Test,Formal Test,s9687n,1,Formal Test,他把水燒了半天。,是
24,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,12,Formal Test,Formal Test,s9687n,1,Formal Test,約翰用把手開鎖。,否
25,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,13,Formal Test,Formal Test,s9687n,1,Formal Test,帥哥把妹很容易。,否
26,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,14,Formal Test,Formal Test,s9687n,1,Formal Test,球拍握把要定期更換。,否
27,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,15,Formal Test,Formal Test,s9687n,1,Formal Test,呼籲選民在年底立委選舉中把票投給愛台灣的人。,是
28,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,16,Formal Test,Formal Test,s9687n,1,Formal Test,超市裡三把蔥特價五十塊。,否
29,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,17,Formal Test,Formal Test,s9687n,1,Formal Test,芭蕾把桿是芭蕾舞者的必備工具。,否
